time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,sen,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Autumn term,Local authority,E92000001,England,E12000009,South West,E06000052,Cornwall,908,Secondary,SEN support,428256,6898,435154,80194,52973,27221,18971,515348,201426,208883,410309,17947,39502,3136,33,1,0,166,3401,6734,4181,12571,27,497,1620,573,1729,1024,22923,1545,0,84.43886461,15.56113539,10.27907356,5.28206183,7.66511173,0.608520844,0.335501448,4.44806228,0.198700684,0.299797418,0.00640344,0.000194044,0,0.032211244,0.659942408,1.306689848,0,47.27188298,202223
202223,Autumn term,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,Primary,SEN support,590114,4494,594608,47067,39258,7809,7048,641675,290594,293736,584330,5784,31701,2002,24,0,238,510,558,3935,991,154,4,279,3220,0,1693,1264,4242,610,290,92.66497838,7.335021623,6.118050415,1.216971208,4.940351424,0.311995948,0.263840729,0.661082324,0.196984455,0.0950637,0.003740211,0,0.037090427,0.079479487,0.08695991,0.613238789,0.045194218,24.1506647,202223
202223,Autumn term,Local authority,E92000001,England,E12000002,North West,E08000005,Rochdale,354,Primary,No SEN,1763346,6362,1769708,110527,73516,37011,22431,1880235,862850,881704,1744554,18792,67061,3062,32,1,80,393,113,2774,648,0,1,232,5480,1,12877,3639,20230,265,0,94.12163905,5.87836095,3.90993679,1.96842416,3.56662864,0.162851984,0.684861201,1.075929339,0.193539637,0.014093983,0.001701915,5.32E-05,0.004254787,0.020901643,0.006009887,0.14753475,0,19.2955792,202223
202223,Autumn term,Local authority,E92000001,England,E12000004,East Midlands,E06000061,North Northamptonshire,940,Special,EHC plan,81842,1019,82861,10963,9106,1857,663,93824,40495,40727,81222,620,5467,738,0,0,12,204,231,2343,755,1,4,6,202,52,297,43,1491,26,111,88.31535641,11.68464359,9.705405866,1.979237722,5.826867326,0.786579127,0.316550136,1.589145634,0.045830491,0.02771146,0,0,0.012789905,0.217428377,0.246205662,2.497228854,0.118306617,37.66233766,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000032,Wandsworth,212,Secondary,SEN support,86104,2031,88135,10619,6615,4004,3309,98754,40736,42384,83120,2984,5382,500,0,0,0,22,146,565,1110,1120,19,156,746,0,201,325,2593,885,0,89.24701784,10.75298216,6.698462847,4.054519311,5.449905827,0.506308605,0.203536059,2.625716427,0.329100593,0.896166231,0,0,0,0.022277579,0.147842113,0.572128724,0,34.06326034,202223
202223,Autumn term,Local authority,E92000001,England,E12000004,East Midlands,E06000016,Leicester,856,Primary,No SEN,2262499,13513,2276012,155967,111199,44768,25881,2431979,1111514,1128460,2239974,22525,98436,3641,2864,1,57,975,20,5165,119,42,16,1440,11937,1,15426,3356,24073,1913,40,93.58682785,6.413172153,4.572366784,1.840805369,4.047567845,0.149713464,0.63429824,0.989852297,0.137994613,0.078660219,0.117764175,4.11E-05,0.00234377,0.040090807,0.000822376,0.212378479,0.001644751,21.48321081,202223
202223,Autumn term,Local authority,E92000001,England,E12000004,East Midlands,E10000024,Nottinghamshire,891,Primary,No SEN,4946930,35668,4982598,295722,233592,62130,35176,5278320,2448297,2467739,4916036,30894,210442,9374,119,1,636,2261,120,9829,3844,25,21,1616,30177,10,33569,4282,22872,1407,810,94.39742191,5.602578093,4.425499022,1.177079071,3.986912502,0.177594386,0.635978872,0.433319693,0.081124297,0.026656209,0.002254505,1.89E-05,0.012049288,0.042835599,0.002273451,0.186214553,0.015345792,19.13760003,202223
202223,Autumn term,Local authority,E92000001,England,E12000005,West Midlands,E08000029,Solihull,334,Secondary,EHC plan,32650,715,33365,6077,4751,1326,1341,39442,15445,15936,31381,1269,3193,248,4,0,0,20,171,1114,681,511,4,0,30,0,57,72,1151,46,1,84.5925663,15.4074337,12.04553522,3.361898484,8.095431266,0.62877136,0.144515998,2.918209016,0.182546524,0.116626946,0.010141474,0,0,0.050707368,0.433547995,2.824400385,0.002535368,37.3088685,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E06000039,Slough,871,Special,SEN support,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Autumn term,Local authority,E92000001,England,E12000004,East Midlands,E06000016,Leicester,856,Secondary,No SEN,1930559,10243,1940802,150058,89263,60795,49124,2090860,930072,955167,1885239,45320,74057,4281,1571,23,130,166,2273,6754,3577,2645,194,644,5804,24,9287,3804,46796,908,8,92.82314454,7.176855457,4.269200233,2.907655223,3.54193968,0.204748285,0.444171298,2.238122112,0.181934706,0.043427107,0.075136547,0.001100026,0.006217537,0.007939317,0.108711248,0.323024975,0.000382618,21.88095376,202223
