time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,disadvantage_code,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Summer term,Local authority,E92000001,England,E12000009,South West,E06000059,Dorset,838,Secondary,FSM eligible,397536,15487,413023,83018,37338,45680,23459,496041,192842,183090,375932,21604,23369,2813,143,858,34,233,3166,6599,4181,4507,63,610,6533,4100,3014,1855,36788,4023,123,83.26388343,16.73611657,7.527200373,9.208916198,4.71110251,0.56709022,0.607611064,7.416322441,0.373961023,0.81102167,0.028828262,0.172969573,0.006854272,0.046971924,0.638253693,1.330333581,0.024796337,46.84755026,202223
202223,Summer term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,Sheffield,373,Secondary,FSM eligible,516828,11906,528734,117786,32364,85422,31826,646520,234386,252897,487283,29545,11012,2010,4149,1458,1,181,7693,5840,3724,8446,104,378,5324,2376,9045,2281,64427,9669,20,81.78153808,18.21846192,5.005877622,13.2125843,1.703272907,0.310895255,1.399028646,9.965198292,0.352811978,1.495545381,0.641743488,0.225515065,0.000154674,0.02799604,1.189909052,0.903297655,0.003093485,51.69293181,202223
202223,Summer term,Local authority,E92000001,England,E12000009,South West,E06000022,Bath and North East Somerset,800,Secondary,FSM Not eligible,441490,24287,465777,36894,25734,11160,16385,502671,210757,215489,426246,15244,18618,2383,180,124,63,244,1086,2852,1103,4956,62,2002,13632,7488,1794,1141,7767,458,184,92.6604081,7.3395919,5.119451888,2.220140012,3.703814224,0.474067531,0.356893475,1.545145831,0.226987433,0.091113273,0.03580871,0.024668222,0.012533048,0.048540696,0.216045883,0.567369114,0.036604459,22.86294416,202223
202223,Summer term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",810,Special,FSM Not eligible,26672,441,27113,2836,2238,598,59,29949,13249,13377,26626,46,1181,306,28,0,0,208,21,494,354,0,0,0,87,0,257,13,326,2,0,90.53056863,9.469431367,7.472703596,1.996727771,3.943370396,1.021736953,0.85812548,1.088517146,0.043407125,0.006678019,0.09349227,0,0,0.694514007,0.070119203,1.649470767,0,29.296875,202223
202223,Summer term,Local authority,E92000001,England,E12000002,North West,E06000008,Blackburn with Darwen,889,Secondary,FSM Not eligible,612417,13346,625763,55768,38476,17292,24113,681531,296771,292094,588865,23552,24450,2129,6011,1835,1,495,857,2666,416,5211,70,2253,8686,1921,5182,561,7596,3953,32,91.81724676,8.182753242,5.645524562,2.537228681,3.58751106,0.31238491,0.760346925,1.114549448,0.082314671,0.580017637,0.881984825,0.26924674,0.000146728,0.072630592,0.125746298,0.391178098,0.004695311,26.25316079,202223
202223,Summer term,Local authority,E92000001,England,E12000008,South East,E06000039,Slough,871,Primary,FSM Not eligible,1136605,17754,1154359,80772,58517,22255,10979,1235131,561543,564604,1126147,10458,37655,2122,13435,175,0,302,174,4585,3223,0,7,665,13859,0,10935,521,9362,1437,69,93.46045075,6.539549246,4.73771608,1.801833166,3.048664474,0.171803639,0.885331192,0.757976279,0.04218176,0.116343934,1.087738871,0.014168538,0,0.024450848,0.014087575,0.371215685,0.005586452,20.7890319,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000014,Haringey,309,Special,FSM eligible,21100,351,21451,2927,2425,502,327,24378,10277,10555,20832,268,1112,259,139,0,0,97,31,787,206,0,0,0,143,2,102,59,229,112,0,87.99327262,12.00672738,9.947493642,2.059233735,4.561489868,1.062433342,0.418410042,0.939371565,0.242021495,0.459430634,0.570186233,0,0,0.397899746,0.127163836,3.228320617,0,35.88516746,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000019,Islington,206,Secondary,FSM Not eligible,194440,11166,205606,17840,10314,7526,7030,223446,93173,94678,187851,6589,5877,809,2066,81,0,204,160,1117,3689,508,46,2214,2625,2592,705,441,6277,103,0,92.01596806,7.984031936,4.615880347,3.368151589,2.630165678,0.362056157,0.315512473,2.809179847,0.197363121,0.046096149,0.924608183,0.036250369,0,0.091297226,0.071605668,0.499897067,0,26.9299024,202223
202223,Summer term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Special,FSM Not eligible,16622,557,17179,1998,1587,411,72,19177,8307,8246,16553,69,811,183,104,2,0,14,10,463,423,91,3,0,119,12,94,3,312,2,0,89.58126923,10.41873077,8.275538405,2.143192366,4.229024352,0.954268134,0.490170517,1.626948949,0.01564374,0.01042916,0.542316316,0.01042916,0,0.07300412,0.0521458,2.414350524,0,27.21893491,202223
202223,Summer term,Local authority,E92000001,England,E12000005,West Midlands,E10000028,Staffordshire,860,Special,FSM Not eligible,113153,2451,115604,10403,8295,2108,1077,126007,56076,56224,112300,853,4791,1179,122,0,2,686,69,1430,1124,0,7,22,1236,62,733,224,1131,20,16,91.74410945,8.255890546,6.582967613,1.672922933,3.802169721,0.935662304,0.581713714,0.897569183,0.177767902,0.015872134,0.096820018,0,0.001587213,0.544414199,0.054758863,1.134857587,0.012697707,24.10303588,202223
202223,Summer term,Local authority,E92000001,England,E12000002,North West,E08000015,Wirral,344,Primary,FSM Not eligible,1542290,23030,1565320,79727,52957,26770,10537,1645047,764975,767988,1532963,9327,39404,3524,824,2,1,4070,164,4966,5719,2024,375,577,16359,0,17354,1210,7597,609,2,95.15351233,4.846487669,3.21917854,1.627309129,2.395311502,0.214218803,1.054924267,0.461810514,0.073554129,0.037020219,0.050089754,0.000121577,6.08E-05,0.247409345,0.00996932,0.301875873,0.000121577,15.21405662,202223
202223,Summer term,Local authority,E92000001,England,E12000002,North West,E08000007,Stockport,356,Primary,FSM eligible,374159,4873,379032,38188,22027,16161,12014,417220,177027,187127,364154,10005,15929,1561,1937,1,53,215,332,1954,726,101,87,92,3968,0,3950,2009,9047,1155,45,90.84703514,9.152964863,5.279468865,3.873495997,3.817889842,0.374143138,0.946742726,2.168400364,0.481520541,0.276832367,0.464263458,0.000239682,0.01270313,0.051531566,0.079574325,0.468338047,0.010785677,33.75328084,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000023,Lewisham,209,Primary,FSM eligible,500743,10433,511176,42671,24127,18544,19494,553847,233906,249633,483539,17204,14218,1705,2813,0,6,716,245,4355,1267,609,342,1105,7719,0,3018,2290,12507,729,69,92.29552566,7.70447434,4.356257233,3.348217107,2.567134967,0.307846752,0.544915834,2.258204883,0.413471591,0.131624799,0.507902002,0,0.001083332,0.12927758,0.044236044,0.786318243,0.012458314,26.76348548,202223
202223,Summer term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,812,Primary,FSM Not eligible,863422,19046,882468,45488,26638,18850,4869,927956,430100,429148,859248,4174,21241,2087,574,0,0,1212,138,1338,5205,910,6,1787,12048,0,11914,695,6080,161,48,95.09804344,4.901956558,2.870610244,2.031346314,2.289009393,0.224902905,1.283897081,0.655203479,0.074895792,0.017349961,0.061856381,0,0,0.130609641,0.014871395,0.144187871,0.005172659,14.99351492,202223
202223,Summer term,Local authority,E92000001,England,E12000002,North West,E08000002,Bury,351,Secondary,FSM Not eligible,767390,25469,792859,70354,44298,26056,25546,863213,367919,376226,744145,23245,29779,2847,3276,1589,1,112,1698,4993,2547,2875,84,3025,12277,7536,5746,2301,17251,758,3,91.84975203,8.150247969,5.131757747,3.018490222,3.449785858,0.32981431,0.665652626,1.998463879,0.266562251,0.087811467,0.379512357,0.184079711,0.000115846,0.012974781,0.196706954,0.57842039,0.000347539,26.04783329,202223
202223,Summer term,Local authority,E92000001,England,E12000009,South West,E06000027,Torbay,880,Primary,FSM Not eligible,622393,12674,635067,30783,21996,8787,4852,665850,309059,309219,618278,4115,17297,1362,329,0,0,692,182,2126,5197,50,12,969,6496,0,4037,737,3690,323,8,95.37688669,4.623113314,3.303446722,1.319666592,2.597732222,0.204550574,0.606292709,0.554178869,0.11068559,0.048509424,0.049410528,0,0,0.103927311,0.027333484,0.319291132,0.001201472,12.36036036,202223
202223,Summer term,Local authority,E92000001,England,E12000008,South East,E06000038,Reading,870,Special,FSM Not eligible,16603,357,16960,2819,2015,804,248,19779,8158,8283,16441,162,831,180,90,28,0,222,49,615,263,0,0,0,90,4,87,86,617,14,0,85.74750999,14.25249001,10.18757268,4.064917337,4.201425755,0.91005612,0.439860458,3.119470145,0.434804591,0.070782143,0.45502806,0.141564285,0,1.122402548,0.247737499,3.10935841,0,36.57142857,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000030,Tower Hamlets,211,Primary,FSM eligible,808660,12878,821538,63213,41634,21579,21622,884751,385905,401476,787381,21279,33058,2276,2494,3,1,405,135,3163,709,84,787,467,10915,0,8356,343,12004,876,99,92.85527793,7.144722074,4.705730765,2.438991309,3.736418495,0.257247519,0.944446517,1.356765915,0.03876797,0.099010908,0.28188722,0.000339078,0.000113026,0.045775591,0.01525853,0.357501715,0.011189589,24.84980187,202223
202223,Summer term,Local authority,E92000001,England,E12000004,East Midlands,E06000061,North Northamptonshire,940,Primary,FSM Not eligible,2056605,40710,2097315,104982,68377,36605,13741,2202297,1022897,1022061,2044958,11647,51739,4891,1439,0,263,1400,603,7497,7029,399,70,3753,29858,0,20936,2094,12361,1214,438,95.23306802,4.766931981,3.104803757,1.662128223,2.349319824,0.222086304,0.950643805,0.561277612,0.095082543,0.055124263,0.065340869,0,0.011942077,0.063569991,0.027380503,0.340417301,0.019888326,13.20362881,202223
202223,Summer term,Local authority,E92000001,England,E12000002,North West,E08000014,Sefton,343,Secondary,FSM Not eligible,1003947,40344,1044291,101711,66001,35710,47703,1146002,472166,485192,957358,46589,46120,4587,435,3132,2,656,1040,10021,5331,5170,597,4684,17830,11902,7091,1114,18010,9495,8,91.12471008,8.875289921,5.759239513,3.116050408,4.024425786,0.400261082,0.618759828,1.571550486,0.097207509,0.828532585,0.037958049,0.273297952,0.00017452,0.057242483,0.090750278,0.874431284,0.000698079,27.63019923,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000012,Hackney,204,Primary,FSM eligible,455179,8009,463188,38211,23618,14593,14235,501399,216296,225063,441359,13820,14254,1205,4545,0,121,507,126,2740,2179,376,500,81,5249,0,3143,415,9170,1865,120,92.37912321,7.620876787,4.710420244,2.910456543,2.842845718,0.240327563,0.626846085,1.828882786,0.082768414,0.371959258,0.906463715,0,0.024132477,0.101117074,0.025129687,0.546470974,0.023933035,26.82104317,202223
202223,Summer term,Local authority,E92000001,England,E12000005,West Midlands,E08000027,Dudley,332,Primary,FSM eligible,658674,11196,669870,68828,34909,33919,18392,738698,315011,328371,643382,15292,24983,2135,3012,1,130,343,618,3682,2844,1042,13,173,8166,0,9016,3100,20834,969,5,90.6825252,9.3174748,4.725747193,4.591727607,3.382031629,0.289022036,1.220525844,2.820367728,0.419657289,0.131176746,0.407744437,0.000135373,0.017598531,0.046433048,0.083660711,0.498444561,0.000676867,33.73913043,202223
202223,Summer term,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Primary,FSM eligible,448105,9124,457229,43333,22982,20351,8002,500562,217592,223259,440851,7254,18284,1664,336,1,190,229,217,2056,3484,1306,3,86,5551,0,9448,748,9547,608,5,91.34313032,8.656869678,4.591239447,4.065630232,3.652694372,0.332426353,1.887478474,1.907256244,0.149432038,0.121463475,0.067124552,0.000199775,0.037957336,0.045748579,0.043351273,0.41073833,0.000998877,32.53096518,202223
202223,Summer term,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Special,FSM eligible,14947,267,15214,1494,1133,361,169,16708,7313,7493,14806,141,660,120,0,0,0,157,4,192,108,160,0,15,144,0,47,28,283,3,0,91.05817572,8.941824276,6.781182667,2.160641609,3.950203495,0.718218817,0.28130237,1.693799378,0.167584391,0.01795547,0,0,0,0.939669619,0.023940627,1.149150108,0,33.10810811,202223
