time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,gender,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Summer term,Local authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,806,Special,Male,38284,1672,39956,6857,4450,2407,307,46813,18990,19018,38008,276,1659,362,169,50,0,290,25,1831,1361,0,0,6,304,1,449,31,1911,16,64,85.35235939,14.64764061,9.505906479,5.141734134,3.543887382,0.773289471,0.959135283,4.082199389,0.066220922,0.03417854,0.36101083,0.106807938,0,0.61948604,0.053403969,3.911306688,0.136714161,35.64593301,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000024,Merton,315,Secondary,Female,278718,19639,298357,23215,13682,9533,7090,321572,139095,133399,272494,6224,9333,1189,1143,18,0,154,476,1367,11273,1570,91,1753,6176,346,531,866,8026,110,2,92.78077693,7.219223067,4.25472367,2.964499397,2.902304927,0.369746122,0.165126317,2.495864068,0.269302054,0.034206958,0.355441394,0.005597502,0,0.047889742,0.148022838,0.4250992,0.000621945,22.62606418,202223
202223,Summer term,Local authority,E92000001,England,E12000005,West Midlands,E10000028,Staffordshire,860,Secondary,Female,1918897,65932,1984829,208455,132469,75986,53984,2193284,928288,941281,1869569,49328,93379,8938,2280,6433,136,1122,5059,14929,8182,8883,339,2957,34200,20254,15524,4656,53051,2755,193,90.49575887,9.504241129,6.039755909,3.464485219,4.257496977,0.407516765,0.707797075,2.418793006,0.21228441,0.125610728,0.103953706,0.293304469,0.006200747,0.051156166,0.230658684,0.680668805,0.00879959,30.51824354,202223
202223,Summer term,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Special,Female,9107,94,9201,863,725,138,97,10064,4461,4568,9029,78,369,107,0,0,0,83,0,166,9,0,0,11,74,0,42,19,77,0,0,91.42488076,8.575119237,7.203895072,1.371224165,3.666534181,1.063195548,0.417329094,0.765103339,0.188791733,0,0,0,0,0.824721781,0,1.649443561,0,29.21348315,202223
202223,Summer term,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,Special,Female,20412,589,21001,2250,1732,518,173,23251,10140,10131,20271,141,945,231,12,0,0,91,56,397,339,0,4,4,208,34,75,32,355,56,0,90.32299686,9.67700314,7.449141972,2.227861167,4.064341319,0.993505656,0.322566771,1.526816051,0.137628489,0.240849856,0.051610683,0,0,0.391381016,0.240849856,1.707453443,0,28.36538462,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000015,Harrow,310,Secondary,Unknown,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Summer term,Local authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,806,Primary,Female,604211,14829,619040,45203,22534,22669,12454,664243,292218,300614,592832,11379,15743,1283,3549,6,0,888,54,1008,4126,224,2,2361,8340,0,11149,1075,9770,675,3,93.19480973,6.805190269,3.392433191,3.412757078,2.370066376,0.193152205,1.678452012,1.470847265,0.161838363,0.101619437,0.53429242,0.000903284,0,0.133686016,0.008129555,0.151751693,0.000451642,23.72076666,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000002,Barking and Dagenham,301,Special,Female,9471,228,9699,2150,1668,482,99,11849,4670,4723,9393,78,671,240,136,0,0,166,16,439,188,56,1,0,38,1,0,21,460,1,0,81.85500886,18.14499114,14.07713731,4.067853827,5.662925141,2.025487383,0,3.882184151,0.177230146,0.008439531,1.147776184,0,0,1.400962107,0.135032492,3.704954005,0,49.05660377,202223
202223,Summer term,Local authority,E92000001,England,E12000006,East of England,E06000055,Bedford,822,Primary,Male,775601,13364,788965,46319,30596,15723,7497,835284,383868,385407,769275,6326,21970,2019,2852,0,2,695,427,2552,2557,225,209,764,9834,0,7902,1171,5970,680,79,94.45470044,5.545299563,3.662945777,1.882353786,2.630243127,0.241714195,0.946025543,0.714726967,0.140191839,0.081409437,0.341440755,0,0.00023944,0.083205233,0.051120338,0.305524827,0.009457861,16.82242991,202223
202223,Summer term,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Primary,Unknown,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Summer term,Local authority,E92000001,England,E12000009,South West,E06000054,Wiltshire,865,Special,Male,58101,1931,60032,10178,7675,2503,353,70210,29029,28773,57802,299,3655,558,16,0,1,160,155,3122,1451,0,7,9,375,89,345,54,1965,139,8,85.50348953,14.49651047,10.93149124,3.565019228,5.205811138,0.794758581,0.491382994,2.798746617,0.076912121,0.197977496,0.022788777,0,0.001424299,0.227887765,0.220766273,4.44666002,0.011394388,36.23417722,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000027,Richmond upon Thames,318,Special,Male,19589,592,20181,1925,1464,461,596,22106,9883,9230,19113,476,980,210,64,0,0,30,44,136,171,0,4,57,74,286,2,120,309,30,0,91.29195693,8.708043065,6.622636388,2.085406677,4.43318556,0.949968334,0.009047317,1.397810549,0.542839048,0.135709762,0.289514159,0,0,0.135709762,0.199040984,0.615217588,0,30.47619048,202223
202223,Summer term,Local authority,E92000001,England,E12000006,East of England,E06000033,Southend-on-Sea,882,Special,Male,34614,952,35566,5661,4093,1568,247,41227,17388,17034,34422,192,1475,405,62,0,0,418,28,1705,315,0,0,2,419,216,52,55,1449,12,0,86.2687074,13.7312926,9.927959832,3.803332767,3.577752444,0.982365925,0.126130934,3.514686977,0.133407718,0.029107139,0.150386882,0,0,1.013898659,0.067916657,4.135639266,0,35.75,202223
202223,Summer term,Local authority,E92000001,England,E12000007,London,E09000003,Barnet,302,Primary,Female,1109865,23784,1133649,65813,48049,17764,15485,1199462,544908,551148,1096056,13809,30876,3472,8076,0,0,1010,102,4491,1617,187,1463,2557,18147,0,3917,1676,11494,677,22,94.51312338,5.486876616,4.005879303,1.480997314,2.574154079,0.289463109,0.326563076,0.958262955,0.139729312,0.056441971,0.673301864,0,0,0.084204418,0.008503813,0.374417864,0.001834156,16.88767551,202223
