time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,sen,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Spring term,Local authority,E92000001,England,E12000009,South West,E06000022,Bath and North East Somerset,800,Secondary,EHC plan,13537,1419,14956,4068,2830,1238,1287,19024,5857,6534,12391,1146,1278,144,0,0,0,1,142,1265,1347,1281,9,4,37,22,8,141,1046,43,0,78.61648444,21.38351556,14.87594617,6.507569386,6.717830109,0.756938604,0.042052145,5.498317914,0.74116905,0.226030278,0,0,0,0.005256518,0.746425568,6.649495374,0,48.38709677,202223
202223,Spring term,Local authority,E92000001,England,E12000005,West Midlands,E08000026,Coventry,331,Special,No SEN,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Spring term,Local authority,E92000001,England,E12000002,North West,E08000003,Manchester,352,Primary,SEN support,647614,2618,650232,55654,34494,21160,21361,705886,305395,324447,629842,17772,28030,2432,21,0,0,109,542,3358,469,519,24,64,2061,0,3978,3589,13055,538,2,92.11572407,7.884275931,4.886624752,2.997651179,3.97089615,0.344531553,0.563547088,1.849448778,0.50843904,0.076216273,0.002974985,0,0,0.015441587,0.076782937,0.475714209,0.000283332,26.07315599,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E10000016,Kent,886,Primary,No SEN,8905412,49589,8955001,514689,395543,119146,95594,9469690,4379093,4444122,8823215,82197,340164,21647,560,0,270,4320,371,28050,3591,951,152,6999,38839,8,29385,13397,72502,3862,161,94.56488016,5.43511984,4.176937154,1.258182686,3.592134484,0.228592488,0.310305828,0.765621683,0.141472424,0.04078275,0.005913604,0,0.002851202,0.045619234,0.003917763,0.296208218,0.001700161,17.42999884,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E06000037,West Berkshire,869,Secondary,EHC plan,24693,1776,26469,6691,4588,2103,993,33160,11814,11967,23781,912,2165,242,0,0,0,18,375,1788,1523,371,4,19,152,78,17,81,1988,17,0,79.82207479,20.17792521,13.83594692,6.341978287,6.528950543,0.729794934,0.051266586,5.99517491,0.244270205,0.051266586,0,0,0,0.054282268,1.130880579,5.392038601,0,40.96774194,202223
202223,Spring term,Local authority,E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",839,Secondary,SEN support,288519,5246,293765,50631,29062,21569,16033,344396,133975,140263,274238,14281,18007,1741,26,22,3,70,3329,5864,2810,2930,166,166,885,1219,620,1752,18746,451,0,85.29860974,14.70139026,8.438541679,6.262848581,5.228574083,0.505522712,0.18002532,5.44315265,0.50871671,0.130953902,0.007549449,0.006387995,0.00087109,0.020325439,0.966619821,1.702691088,0,38.98883375,202223
202223,Spring term,Local authority,E92000001,England,E12000005,West Midlands,E08000027,Dudley,332,Primary,EHC plan,66431,468,66899,7506,5909,1597,1631,74405,32162,32902,65064,1367,3840,443,0,0,24,24,369,1209,115,507,2,10,341,0,129,264,1170,34,0,89.91196828,10.08803172,7.941670587,2.146361132,5.160943485,0.595390095,0.173375445,1.572474968,0.354814865,0.045695854,0,0,0.032255897,0.032255897,0.495934413,1.6248908,0,30,202223
202223,Spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,815,Primary,No SEN,3124161,27410,3151571,151157,123315,27842,19924,3302728,1551936,1555282,3107218,16943,102678,7325,21,3,724,4386,65,8101,5390,24428,29,3540,18451,0,12957,2981,9933,1971,12,95.42326828,4.57673172,3.73373163,0.84300009,3.108884534,0.221786354,0.392312052,0.300751379,0.090258719,0.059677939,0.000635838,9.08E-05,0.021921272,0.13279931,0.00196807,0.245282082,0.000363336,13.69037822,202223
202223,Spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,812,Secondary,SEN support,105678,517,106195,20136,9094,11042,5251,126331,49054,51903,100957,4721,5281,656,0,0,0,0,1752,1405,214,4621,24,45,228,6,175,530,10227,110,0,84.06091933,15.93908067,7.198549841,8.740530828,4.18028829,0.519270804,0.138524986,8.095400179,0.419532815,0.087072848,0,0,0,0,1.386833002,1.112157744,0,41.94952132,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000013,Hammersmith and Fulham,205,Special,EHC plan,30956,276,31232,4309,3249,1060,530,35541,15008,15456,30464,492,2114,336,0,0,0,47,0,752,119,2,9,0,4,144,96,38,810,116,0,87.87597423,12.12402577,9.141554824,2.982470949,5.948059987,0.945387018,0.270110577,2.279057989,0.10691877,0.326383613,0,0,0,0.132241636,0,2.115866183,0,33.93939394,202223
