time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,disadvantage_code,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Spring term,Local authority,E92000001,England,E12000005,West Midlands,E08000029,Solihull,334,Primary,FSM eligible,399636,2607,402243,40476,26531,13945,10695,442719,191195,200223,391418,8218,21361,1325,6,0,52,82,450,3230,748,451,3,173,1683,0,854,2477,10360,254,25,90.85740617,9.142593835,5.992740316,3.149853519,4.824956688,0.299286907,0.192898882,2.340084794,0.559497108,0.057372735,0.001355261,0,0.011745599,0.018521907,0.10164461,0.729582421,0.005646923,31.77313936,202223
202223,Spring term,Local authority,E92000001,England,E12000006,East of England,E06000055,Bedford,822,Primary,FSM eligible,308258,1230,309488,26938,19031,7907,6097,336426,149333,153798,303131,5127,16724,896,13,0,38,33,115,1200,129,38,4,75,1022,0,1369,970,5330,238,12,91.99288997,8.007110033,5.656816061,2.350293973,4.971078335,0.266329,0.406924554,1.584300857,0.288324921,0.070743641,0.003864148,0,0.011295203,0.009808992,0.034182852,0.356690624,0.003566906,28.88074617,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000010,Enfield,308,Secondary,FSM Not eligible,1219304,17110,1236414,95994,57905,38089,39882,1332408,578541,603386,1181927,37377,43318,4312,74,1038,0,240,3087,5836,4709,4398,183,777,7810,3631,2651,2505,28858,4075,0,92.79545004,7.204549958,4.345891048,2.858658909,3.251106268,0.323624595,0.19896308,2.165853102,0.188005476,0.305837251,0.005553854,0.077904065,0,0.018012501,0.23168579,0.438003975,0,24.30309564,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000007,Camden,202,Special,FSM Not eligible,11442,43,11485,2207,1753,454,443,13692,5359,5783,11142,300,1135,176,0,0,0,56,18,368,37,0,0,0,4,2,66,143,240,5,0,83.88109845,16.11890155,12.8030967,3.31580485,8.289512124,1.285422144,0.482033304,1.752848379,1.044405492,0.036517675,0,0,0,0.408997955,0.131463628,2.687700847,0,51.61290323,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000024,Merton,315,Special,FSM Not eligible,18229,477,18706,3718,2490,1228,739,22424,8519,8981,17500,729,1600,191,0,0,0,102,17,580,301,0,2,20,153,1,20,10,1196,2,0,83.41955048,16.58044952,11.1041741,5.476275419,7.135212273,0.851765965,0.089190153,5.333571174,0.044595077,0.008919015,0,0,0,0.454869782,0.07581163,2.586514449,0,39.90147783,202223
202223,Spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,Doncaster,371,Primary,FSM Not eligible,1455182,11537,1466719,71423,55648,15775,9603,1538142,721020,725406,1446426,8756,47876,2856,29,0,853,362,247,3353,640,792,4,439,10424,30,6100,847,8128,700,72,95.35654055,4.643459447,3.617871432,1.025588015,3.112586484,0.185678565,0.39658237,0.528429755,0.055066437,0.045509452,0.001885392,0,0.055456518,0.023534888,0.016058335,0.217990277,0.004680972,14.05282267,202223
202223,Spring term,Local authority,E92000001,England,E12000009,South West,E06000022,Bath and North East Somerset,800,Secondary,FSM eligible,74160,2085,76245,16594,9867,6727,7514,92839,31660,36108,67768,6392,6555,488,6,0,20,38,578,2182,1407,3659,24,82,196,376,55,1122,5443,107,0,82.12604617,17.87395383,10.62807656,7.245877271,7.060610304,0.525641164,0.059242344,5.862837816,1.208543823,0.115253288,0.006462801,0,0.021542671,0.040931074,0.622583182,2.350305367,0,51.27071823,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000007,Camden,202,Secondary,FSM eligible,264755,4823,269578,35051,20736,14315,22262,304629,113775,129011,242786,21969,15889,1743,6,0,0,8,778,2312,2824,3894,99,160,1283,457,1042,293,11076,1904,0,88.49387287,11.50612713,6.806968476,4.699158649,5.215852726,0.572171395,0.342055418,3.635898092,0.09618257,0.625022568,0.001969609,0,0,0.002626145,0.255392625,0.758955976,0,37.79527559,202223
202223,Spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000065,North Yorkshire,815,Primary,FSM Not eligible,3149948,29421,3179369,145487,121216,24271,17497,3324856,1567742,1567357,3135099,14849,98647,8084,15,3,747,4609,320,8780,6852,26768,23,3726,18820,0,13608,2648,6972,1043,11,95.62426162,4.375738378,3.645751876,0.729986502,2.966955561,0.243138349,0.409280883,0.209693292,0.079642547,0.03136978,0.000451147,9.02E-05,0.022467138,0.138622545,0.009624477,0.264071587,0.000330841,12.52534502,202223
202223,Spring term,Regional,E92000001,England,E12000009,South West,,,,Primary,FSM eligible,6710604,52889,6763493,643634,455361,188273,166594,7407127,3224811,3354333,6579144,131460,364970,26151,194,4,1156,3434,5328,53619,15340,8747,92,4674,32783,0,19921,35134,125905,7313,504,91.31061206,8.689387937,6.147606218,2.541781719,4.927281522,0.353051865,0.268943681,1.699781845,0.474326956,0.098729237,0.002619099,5.40E-05,0.015606591,0.046360755,0.071930723,0.723883903,0.006804258,30.36433084,202223
