time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,gender,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E06000040,Windsor and Maidenhead,868,Special,Male,31354,346,31700,4292,3502,790,531,35992,15361,15688,31049,305,1923,392,0,0,0,92,58,1037,240,0,1,0,105,0,8,226,482,74,0,88.07512781,11.92487219,9.729939987,2.194932207,5.342853968,1.089130918,0.022227162,1.339186486,0.627917315,0.205601245,0,0,0,0.255612358,0.161146922,2.881195821,0,35,202223
202223,Spring term,Local authority,E92000001,England,E12000001,North East,E06000005,Darlington,841,Primary,Male,348850,1413,350263,21624,16807,4817,3709,371887,171418,174315,345733,3117,13188,1062,4,0,899,321,216,1116,208,546,1,408,796,0,1592,592,2384,249,1,94.18533049,5.81466951,4.519383576,1.295285934,3.546238508,0.285570617,0.428087026,0.641054944,0.15918814,0.066955823,0.001075596,0,0.241740098,0.086316542,0.058082159,0.300091157,0.000268899,18.82807852,202223
202223,Spring term,Local authority,E92000001,England,E12000008,South East,E06000044,Portsmouth,851,Special,Female,14431,1561,15992,4362,2216,2146,212,20354,7094,7136,14230,201,957,178,2,0,0,24,52,1003,1534,68,8,0,9,10,9,11,2113,13,0,78.56932298,21.43067702,10.88729488,10.54338214,4.70177852,0.874520979,0.044217353,10.38125184,0.054043431,0.06386951,0.009826078,0,0,0.117912941,0.255478039,4.927778324,0,50.2617801,202223
202223,Spring term,Local authority,E92000001,England,E12000006,East of England,E10000012,Essex,881,Special,Female,61279,835,62114,7812,7154,658,409,69926,30456,30496,60952,327,3916,1035,0,0,0,164,92,1946,489,67,4,82,111,149,88,82,413,75,1,88.8281898,11.1718102,10.23081543,0.940994766,5.600205932,1.480136144,0.125847324,0.590624374,0.117266825,0.107256242,0,0,0,0.23453365,0.131567657,2.782941967,0.001430083,32.5,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000013,Hammersmith and Fulham,205,Special,Male,22516,154,22670,3129,2523,606,344,25799,10955,11232,22187,329,1625,252,0,0,0,37,0,609,95,2,8,0,3,48,60,15,448,83,0,87.87162293,12.12837707,9.779448816,2.348928253,6.298693748,0.976782046,0.232567154,1.736501415,0.058141788,0.321717896,0,0,0,0.143416411,0,2.360556611,0,33.75,202223
202223,Spring term,Local authority,E92000001,England,E12000001,North East,E06000047,County Durham,840,Primary,Female,1593654,7865,1601519,90678,70221,20457,16520,1692197,783426,795814,1579240,14414,61439,4102,22,4,243,759,80,3509,1083,597,2,1109,5671,0,4932,2106,11984,1435,63,94.64140404,5.358595955,4.149694155,1.2089018,3.630723846,0.242406765,0.291455427,0.708191777,0.124453595,0.084801001,0.001300085,0.000236379,0.01436003,0.044852934,0.004727582,0.207363563,0.003722971,17.28270543,202223
202223,Spring term,Local authority,E92000001,England,E12000002,North West,E06000009,Blackpool,890,Primary,Female,539581,2285,541866,32317,17464,14853,10643,574183,271524,259177,530701,8880,14900,1257,2,0,89,132,65,1017,45,400,0,505,1735,0,2119,1763,10740,231,2,94.37165503,5.62834497,3.041539022,2.586805949,2.594991492,0.218919752,0.369046106,1.8704838,0.307044967,0.040231076,0.000348321,0,0.015500285,0.022989186,0.011320433,0.177121231,0.000348321,18.84816754,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000021,Kingston upon Thames,314,Primary,Unknown,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000013,Hammersmith and Fulham,205,Primary,Male,341479,3370,344849,22380,16568,5812,7957,367229,163521,170380,333901,7578,13716,1152,28,0,0,141,27,1502,716,227,126,494,2034,0,1517,379,3646,270,2,93.90571006,6.094289939,4.51162626,1.582663679,3.734999142,0.313700715,0.413093737,0.992840979,0.103205357,0.073523605,0.00762467,0,0,0.03839566,0.007352361,0.409009092,0.000544619,19.33962264,202223
202223,Spring term,Local authority,E92000001,England,E12000005,West Midlands,E10000028,Staffordshire,860,Special,Female,50871,484,51355,6146,5162,984,754,57501,24953,25267,50220,651,3339,744,0,0,0,66,26,987,310,0,2,9,147,16,66,103,799,16,0,89.31149023,10.68850977,8.977235179,1.711274587,5.806855533,1.293890541,0.114780613,1.389541051,0.17912732,0.027825603,0,0,0,0.114780613,0.045216605,1.716491887,0,35.13513514,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000002,Barking and Dagenham,301,Special,Male,26567,662,27229,4412,3276,1136,326,31641,13026,13256,26282,285,1793,354,0,0,0,78,73,978,565,80,0,1,58,38,92,41,1001,2,0,86.0560665,13.9439335,10.35365507,3.590278436,5.666698271,1.118801555,0.290761986,3.163616826,0.129578711,0.006320913,0,0,0,0.246515597,0.230713315,3.09092633,0,43.46405229,202223
202223,Spring term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,Sheffield,373,Secondary,Male,1059995,9366,1069361,102483,40840,61643,36705,1171844,505067,520282,1025349,34646,24918,2465,22,19,18,105,6137,7156,3656,7444,121,882,4035,672,3656,2059,52048,3880,0,91.25455265,8.745447346,3.485105526,5.26034182,2.12639225,0.210352231,0.31198692,4.441546827,0.175705981,0.331102092,0.001877383,0.001621376,0.001536041,0.008960237,0.52370452,0.610661487,0,22.91685115,202223
202223,Spring term,Local authority,E92000001,England,E12000007,London,E09000002,Barking and Dagenham,301,Secondary,Male,620973,7400,628373,51073,28050,23023,24835,679446,291269,307084,598353,22620,21684,2432,20,0,1,170,1300,2443,1588,5577,189,650,2678,2295,2022,2215,18450,336,0,92.48314068,7.516859324,4.128363402,3.388495922,3.191423601,0.357938674,0.297595394,2.715447585,0.326000889,0.049452054,0.002943575,0,0.000147179,0.025020384,0.19133235,0.35955764,0,22.09250112,202223
