time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,disadvantage_code,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Autumn term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Primary,FSM eligible,798458,4339,802797,77610,57633,19977,17027,880407,384867,399209,784076,14382,50275,2663,1,0,12,378,674,3607,852,747,6,426,3055,0,5342,2645,11773,217,23,91.18475887,8.815241133,6.546176939,2.269064194,5.710427109,0.302473742,0.606764826,1.337222444,0.300429233,0.024647691,0.000113584,0,0.001363006,0.042934688,0.076555502,0.409696879,0.002612428,32.71742151,202223
202223,Autumn term,Local authority,E92000001,England,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",839,Special,FSM eligible,18806,285,19091,3415,2513,902,281,22506,9545,9053,18598,208,1803,121,0,0,0,9,56,524,157,0,3,0,118,7,130,73,699,0,0,84.82626855,15.17373145,11.16591131,4.007820137,8.011197014,0.537634409,0.577623745,3.105838443,0.324357949,0,0,0,0,0.039989336,0.248822536,2.328268017,0,48.36956522,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000029,Sutton,319,Special,FSM Not eligible,51700,694,52394,6916,5610,1306,401,59310,25718,25636,51354,346,3999,602,0,0,0,51,18,940,649,0,0,0,45,0,67,55,839,345,0,88.33923453,11.66076547,9.458775923,2.201989546,6.742539201,1.015005901,0.112965773,1.414601248,0.092733097,0.581689428,0,0,0,0.085988872,0.030349014,1.584892935,0,38.92339545,202223
202223,Autumn term,Local authority,E92000001,England,E12000002,North West,E08000011,Knowsley,340,Primary,FSM Not eligible,731694,1979,733673,43437,30761,12676,7574,777110,359067,365348,724415,7279,27950,1322,8,0,0,68,7,1361,432,1023,2,284,1261,0,5222,295,6721,438,45,94.41044382,5.589556176,3.95838427,1.631171906,3.596659418,0.170117487,0.67197694,0.864871125,0.037961164,0.056362677,0.001029455,0,0,0.00875037,0.000900773,0.175136081,0.005790686,17.60257442,202223
202223,Autumn term,Local authority,E92000001,England,E12000004,East Midlands,E10000018,Leicestershire,855,Primary,FSM Not eligible,4545336,40790,4586126,249433,210275,39158,24499,4835559,2258102,2265993,4524095,21241,185262,9911,945,2,1086,2038,385,10629,3837,445,86,2478,34386,3,20221,3258,13591,2088,17,94.84169255,5.158307447,4.348514825,0.809792622,3.831242675,0.204960792,0.418172956,0.281063678,0.067375871,0.043180116,0.019542725,4.14E-05,0.022458624,0.04214611,0.007961851,0.219809127,0.000351562,15.88753908,202223
202223,Autumn term,Local authority,E92000001,England,E12000009,South West,E10000008,Devon,878,Secondary,FSM eligible,634137,8400,642537,144990,88134,56856,29021,787527,299488,309787,609275,24862,62899,3630,0,5,37,302,7563,13676,4003,6055,46,570,3608,173,1252,4159,48780,2665,20,81.58920266,18.41079734,11.19123535,7.219561996,7.986900767,0.460936577,0.158978676,6.194073346,0.528108878,0.338401096,0,0.000634899,0.004698252,0.038347892,0.960348026,1.736575381,0.002539595,55.84474199,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E10000025,Oxfordshire,931,Special,FSM eligible,24223,249,24472,3919,3344,575,272,28391,11867,12104,23971,252,2273,365,0,0,0,126,4,576,200,0,0,0,49,0,70,20,464,21,0,86.19632982,13.80367018,11.77838047,2.025289704,8.006058258,1.285618682,0.246557008,1.634320735,0.070444859,0.073967102,0,0,0,0.443802614,0.014088972,2.028811947,0,43.91304348,202223
202223,Autumn term,Local authority,E92000001,England,E12000009,South West,E06000052,Cornwall,908,Special,FSM Not eligible,21335,128,21463,3358,3095,263,269,24821,10459,10659,21118,217,1876,283,0,0,0,111,0,825,102,52,2,14,7,3,26,52,134,51,0,86.47113331,13.52886669,12.46928005,1.05958664,7.558116111,1.140163571,0.10475001,0.539865437,0.20950002,0.205471174,0,0,0,0.447201966,0,3.323798397,0,40.60913706,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E06000040,Windsor and Maidenhead,868,Special,FSM eligible,11214,152,11366,2282,2010,272,168,13648,5496,5572,11068,146,1428,174,0,0,0,59,18,331,140,0,1,0,11,0,8,22,195,47,0,83.27960141,16.72039859,14.72743259,1.992966002,10.46307151,1.274912075,0.058616647,1.428780774,0.16119578,0.344372802,0,0,0,0.432297773,0.131887456,2.425263775,0,54.46428571,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000011,Greenwich,203,Primary,FSM eligible,485363,3544,488907,48117,27565,20552,15985,537024,227713,242909,470622,14741,23300,1612,35,2,0,106,246,2209,1562,189,269,13,1700,0,1712,1244,16803,793,55,91.04006525,8.959934752,5.132917709,3.827017042,4.338726016,0.300172804,0.318793946,3.12891044,0.231647003,0.147665654,0.0065174,0.000372423,0,0.01973841,0.045808009,0.41134102,0.010241628,31.97725284,202223
202223,Autumn term,Local authority,E92000001,England,E12000002,North West,E06000009,Blackpool,890,Secondary,FSM Not eligible,359233,4923,364156,31456,17712,13744,13002,395612,170734,176413,347147,12086,13957,857,135,0,0,64,858,1841,3008,3060,25,57,1723,110,2064,916,10294,470,0,92.04877506,7.951224938,4.47711394,3.474110998,3.527951629,0.216626392,0.521723305,2.602044427,0.231539994,0.118803272,0.034124344,0,0,0.016177467,0.216879164,0.465354944,0,26.57964996,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000008,Croydon,306,Secondary,FSM eligible,324260,4111,328371,50038,25763,24275,15837,378409,149185,161954,311139,13121,19546,1447,25,0,39,55,1385,3266,2186,4085,133,194,1596,2,891,2716,20545,123,0,86.77674157,13.22325843,6.808241876,6.415016556,5.16531055,0.382390482,0.235459516,5.429310614,0.717741914,0.032504512,0.006606608,0,0.010306309,0.014534538,0.366006094,0.863087294,0,42.23871367,202223
202223,Autumn term,Local authority,E92000001,England,E12000006,East of England,E06000055,Bedford,822,Secondary,FSM eligible,193259,2215,195474,34778,21736,13042,9203,230252,90102,94890,184992,8267,17285,1159,5,0,76,15,1330,1817,1526,522,8,77,582,22,555,936,10783,768,49,84.89567952,15.10432048,9.440091726,5.664228758,7.506992339,0.503361534,0.241040252,4.683129788,0.406511127,0.333547591,0.002171534,0,0.033007314,0.006514601,0.57762799,0.789135382,0.021281031,49.52978056,202223
202223,Autumn term,Local authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,806,Special,FSM eligible,28942,370,29312,2592,2267,325,189,31904,14353,14452,28805,137,1734,244,0,0,0,58,0,231,206,0,1,1,162,0,110,52,162,1,0,91.87562688,8.124373119,7.105692076,1.018681043,5.435055165,0.764794383,0.344784353,0.50777332,0.162988967,0.003134403,0,0,0,0.181795386,0,0.724047141,0,29.41176471,202223
202223,Autumn term,Local authority,E92000001,England,E12000004,East Midlands,E10000007,Derbyshire,830,Secondary,FSM Not eligible,2288244,27376,2315620,198459,147826,50633,45097,2514079,1192561,1052549,2245110,43134,117098,7776,41,5,345,689,5543,16295,12076,3469,132,3089,12038,41,6053,1963,41885,732,29,92.10609531,7.893904686,5.879926605,2.013978081,4.657689754,0.309298157,0.240764113,1.666017655,0.078080283,0.02911603,0.001630816,0.00019888,0.013722719,0.027405662,0.220478354,0.648149879,0.001153504,22.94533824,202223
