time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,gender,present_sessions,approved_educational_activity,overall_attendance,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,reason_x_not_attending_covid_non_compulsory,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,covid_non_compulsory_perc,pa_perc,academic_year
202223,Autumn term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000036,Wakefield,384,Primary,Female,1304254,7458,1311712,90011,69008,21003,11949,1401723,642639,651390,1294029,10225,60856,2856,47,0,279,432,57,4338,286,371,14,204,6954,0,11276,1724,7675,328,143,93.57854583,6.421454167,4.923083947,1.49837022,4.34151398,0.203749243,0.804438537,0.54754042,0.12299149,0.023399773,0.003353016,0,0.019904075,0.030819213,0.004066424,0.309476266,0.01020173,21.035175,202223
202223,Autumn term,Local authority,E92000001,England,E12000002,North West,E08000014,Sefton,343,Special,Female,18030,268,18298,3152,2487,665,202,21450,8918,8938,17856,174,1423,281,0,0,0,82,7,694,210,0,0,19,39,0,126,28,482,29,0,85.30536131,14.69463869,11.59440559,3.1002331,6.634032634,1.31002331,0.587412587,2.247086247,0.130536131,0.135198135,0,0,0,0.382284382,0.032634033,3.235431235,0,39.41176471,202223
202223,Autumn term,Local authority,E92000001,England,E12000002,North West,E06000049,Cheshire East,895,Secondary,Male,1029291,15161,1044452,102549,81012,21537,25939,1147001,491656,513636,1005292,23999,66171,4167,3,0,0,658,2404,7564,5453,2208,29,2244,7024,411,2182,1940,15425,1990,45,91.05938007,8.94061993,7.06294066,1.87767927,5.769044665,0.363295237,0.190235231,1.344811382,0.169136731,0.173495925,0.000261552,0,0,0.057366994,0.209590053,0.659458885,0.003923275,30.19766853,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E10000032,West Sussex,938,Special,Female,30436,270,30706,4730,4364,366,295,35436,15083,15120,30203,233,2804,450,11,0,0,216,15,867,179,248,0,2,89,0,149,62,139,16,0,86.65199232,13.34800768,12.31515972,1.032847951,7.912856982,1.269895022,0.420476352,0.392256462,0.174963314,0.045151823,0.031041878,0,0,0.609549611,0.042329834,2.446664409,0,46.34146341,202223
202223,Autumn term,Local authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,806,Special,Male,41968,1341,43309,6803,4953,1850,432,50112,20737,20861,41598,370,2652,316,0,0,0,162,113,1710,1155,0,1,3,182,0,215,62,1571,2,0,86.42440932,13.57559068,9.883860153,3.691730524,5.292145594,0.630587484,0.429038953,3.13497765,0.123722861,0.00399106,0,0,0,0.323275862,0.225494891,3.412356322,0,36.159601,202223
202223,Autumn term,Local authority,E92000001,England,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,Secondary,Female,361617,4397,366014,42534,36217,6317,7056,408548,176407,178627,355034,6583,30654,2353,5,2,46,176,355,2624,1095,1108,61,444,2793,4,725,473,4824,295,2,89.58898342,10.41101658,8.864809031,1.546207545,7.503157524,0.575942117,0.177457728,1.180767009,0.11577587,0.072206938,0.001223846,0.000489539,0.011259387,0.043079393,0.086893095,0.642274592,0.000489539,38.57981549,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E06000038,Reading,870,Secondary,Female,363876,5283,369159,34793,25448,9345,7170,403952,180016,177329,357345,6531,20644,1094,57,0,0,58,627,2964,2979,598,56,85,2139,24,1361,639,6775,570,4,91.38684794,8.613152058,6.299758387,2.313393671,5.110508179,0.270824256,0.336921218,1.677179467,0.158187111,0.141105874,0.014110587,0,0,0.014358142,0.155216461,0.733750545,0.000990217,30.94650206,202223
202223,Autumn term,Local authority,E92000001,England,E12000007,London,E09000004,Bexley,303,Secondary,Male,650526,16832,667358,64075,47348,16727,24869,731433,307309,319557,626866,23660,37771,2427,67,0,1,74,2446,4554,12091,2184,131,1242,1476,1892,964,1209,12668,1886,8,91.23979913,8.760200866,6.473320181,2.286880685,5.16397264,0.331814397,0.131796077,1.731942639,0.165291968,0.257850001,0.009160101,0,0.000136718,0.010117126,0.334412038,0.622613418,0.001093743,28.0282368,202223
202223,Autumn term,Local authority,E92000001,England,E12000004,East Midlands,E06000061,North Northamptonshire,940,Secondary,Male,901163,5629,906792,90702,60198,30504,24439,997494,434946,442868,877814,23349,47923,2692,18,0,12,93,3390,6066,972,3574,14,712,3895,36,2417,1090,26576,421,4,90.90701297,9.092987025,6.034923518,3.058063507,4.804339675,0.26987631,0.242307222,2.664276677,0.10927384,0.042205768,0.001804522,0,0.001203015,0.009323364,0.339851668,0.608123959,0.000401005,28.33054293,202223
202223,Autumn term,Local authority,E92000001,England,E12000002,North West,E08000010,Wigan,359,Secondary,Male,838414,8264,846678,87365,57958,29407,27497,934043,399176,413514,812690,25724,48473,2631,17,1,72,176,2324,4068,3714,387,38,455,3578,479,4055,1773,23391,188,196,90.64657623,9.353423772,6.205067647,3.148356125,5.189589773,0.281678681,0.434134189,2.504274428,0.189819955,0.020127553,0.001820045,0.000107061,0.007708425,0.018842816,0.248810815,0.435525988,0.020984045,29.314923,202223
202223,Autumn term,Local authority,E92000001,England,E12000008,South East,E06000041,Wokingham,872,Special,Male,33513,356,33869,3476,2997,479,355,37345,16528,16733,33261,252,2411,229,0,0,0,58,148,129,192,0,0,5,159,0,18,103,358,0,22,90.6921944,9.307805596,8.025170706,1.282634891,6.456018209,0.613201232,0.048199223,0.958629,0.275806668,0,0,0,0,0.155308609,0.396304726,0.345427768,0.058910162,28.75647668,202223
202223,Autumn term,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Secondary,Male,1487204,14972,1502176,130678,88961,41717,37400,1632854,718634,732161,1450795,36409,73409,3708,31,0,2,312,4871,6628,5818,8898,35,854,6677,1588,5577,991,33296,1853,0,91.99695747,8.003042526,5.448190714,2.554851812,4.495747936,0.227087051,0.341549214,2.039129034,0.06069128,0.113482283,0.001898516,0,0.000122485,0.019107648,0.298312035,0.405915042,0,24.27379711,202223
202223,Autumn term,Local authority,E92000001,England,E12000002,North West,E08000008,Tameside,357,Secondary,Male,848296,8480,856776,74495,39797,34698,22317,931271,408645,419852,828497,19799,29597,1976,4,0,0,56,3311,4853,3743,3149,77,1104,3528,28,4001,2518,28135,44,0,92.0007173,7.999282701,4.273406989,3.725875712,3.178129674,0.212183135,0.429627896,3.021139926,0.270383165,0.004724726,0.000429521,0,0,0.006013287,0.355535607,0.521115765,0,22.81029196,202223
